OBJECTID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD,geometry
400,0015210036,JACOBI MEDICAL CENTER,1400 PELHAM PARKWAY SOUTH,BRONX,NY,10036,NOT AVAILABLE,(212) 430-5235,GENERAL ACUTE CARE,OPEN,457,BRONX,36005,USA,40.8562983570001,-73.847512147,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY,2014-02-10T00:00:00,http://www.nyc.gov/html/hhc/jacobi/home.html,7000002H,NOT AVAILABLE,36,GOVERNMENT - LOCAL,-999,457,LEVEL I,Y,POINT (-73.84751214699997 40.85629835700006)
401,0015310466,MONTEFIORE MEDICAL CENTER - MOSES DIVISION,111 E 210TH ST,BRONX,NY,10466,NOT AVAILABLE,(718) 920-4321,GENERAL ACUTE CARE,OPEN,779,BRONX,36005,USA,40.880079256,-73.879826699,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY,2014-02-10T00:00:00,http://www.montefiore.org,7000006H,NOT AVAILABLE,36,NON-PROFIT,-999,779,NOT AVAILABLE,N,POINT (-73.87982669899998 40.88007925600004)
403,0015610467,NORTH CENTRAL BRONX HOSPITAL,3424 KOSSUTH AVE,BRONX,NY,10467,NOT AVAILABLE,(718) 519-5000,GENERAL ACUTE CARE,OPEN,213,BRONX,36005,USA,40.8803656010001,-73.881057106,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY/OTHER,2014-01-02T00:00:00,http://www.nyc.gov/html/hhc/ncbh/html/home/home.shtml,7000024H,NOT AVAILABLE,36,GOVERNMENT - LOCAL,-999,213,NOT AVAILABLE,N,POINT (-73.88105710599996 40.88036560100005)
405,0016111212,BROOKDALE HOSPITAL MEDICAL CENTER,1 BROOKDALE PLAZA,BROOKLYN,NY,11212,NOT AVAILABLE,(718) 240-5000,GENERAL ACUTE CARE,OPEN,530,KINGS,36047,USA,40.655269102,-73.9125565319999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY,2014-02-10T00:00:00,http://www.brookdalehospital.org,7001002H,NOT AVAILABLE,36,NON-PROFIT,-999,530,LEVEL II,N,POINT (-73.91255653199994 40.65526910200003)
406,0016211201,BROOKLYN HOSPITAL CENTER,121 DEKALB AVE,BROOKLYN,NY,11201,NOT AVAILABLE,(718) 250-8000,GENERAL ACUTE CARE,OPEN,464,KINGS,36047,USA,40.6905725080001,-73.9778837649999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY,2014-02-10T00:00:00,http://www.tbh.org,7001003H,NOT AVAILABLE,36,NON-PROFIT,-999,464,NOT AVAILABLE,N,POINT (-73.97788376499994 40.69057250800006)
407,0016310461,MONTEFIORE WESTCHESTER SQUARE MEDICAL CENTER,2475 RAYMOND AVENUE,BRONX,NY,10461,NOT AVAILABLE,(718) 430-7300,GENERAL ACUTE CARE,CLOSED,-999,BRONX,36005,USA,40.8407431110001,-73.848517531,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY/OTHER,2014-02-10T00:00:00,http://www.montefiore.org/westchestersquare,1185,NOT AVAILABLE,36,NON-PROFIT,-999,-999,NOT AVAILABLE,N,POINT (-73.84851753099997 40.84074311100005)
408,0016411203,KINGS COUNTY HOSPITAL CENTER,451 CLARKSON AVE,BROOKLYN,NY,11203,NOT AVAILABLE,(718) 245-2306,GENERAL ACUTE CARE,OPEN,639,KINGS,36047,USA,40.656616381,-73.94469079,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY/OTHER,2014-01-03T00:00:00,http://www.nyc.gov/html/hhc/kchc/html/home/home.shtml,7001016H,NOT AVAILABLE,36,GOVERNMENT - LOCAL,-999,639,LEVEL I,N,POINT (-73.94469078999998 40.65661638100005)
409,0016611235,CONEY ISLAND HOSPITAL,2601 OCEAN PARKWAY,BROOKLYN,NY,11235,NOT AVAILABLE,(718) 616-3000,GENERAL ACUTE CARE,OPEN,371,KINGS,36047,USA,40.5854143810001,-73.9653324339999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY,2014-01-02T00:00:00,http://www.nyc.gov/html/hhc/html/facilities/coneyisland.shtml,7001009H,NOT AVAILABLE,36,GOVERNMENT - LOCAL,-999,371,NOT AVAILABLE,N,POINT (-73.96533243399995 40.58541438100007)
410,0016711201,LONG ISLAND COLLEGE HOSPITAL,339 HICKS ST,BROOKLYN,NY,11201,NOT AVAILABLE,(212) 256-3600,GENERAL ACUTE CARE,CLOSED,506,KINGS,36047,USA,40.690595268,-73.997877559,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY,2014-01-02T00:00:00,http://downstate.edu/lich/,7001017H,NOT AVAILABLE,36,GOVERNMENT - STATE,-999,506,NOT AVAILABLE,N,POINT (-73.99787755899996 40.69059526800003)
411,0016911209,NYU LUTHERAN MEDICAL CENTER,150 55TH ST,BROOKLYN,NY,11209,NOT AVAILABLE,(718) 630-7300,GENERAL ACUTE CARE,OPEN,396,KINGS,36047,USA,40.6465639940001,-74.020914692,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY/OTHER,2014-02-10T00:00:00,http://www.lutheranhealthcare.org/Main/LutheranMedicalCenter.aspx,7001019H,NOT AVAILABLE,36,NON-PROFIT,-999,396,LEVEL I,N,POINT (-74.02091469199996 40.64656399400008)
412,0017011215,NEW YORK METHODIST HOSPITAL,506 6TH ST,BROOKLYN,NY,11215,NOT AVAILABLE,(718) 780-3000,GENERAL ACUTE CARE,OPEN,591,KINGS,36047,USA,40.6677617010001,-73.978990521,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY/OTHER,2014-02-10T00:00:00,http://www.nym.org,7001021H,NOT AVAILABLE,36,NON-PROFIT,-999,591,LEVEL II,N,POINT (-73.97899052099996 40.66776170100007)
413,0017910003,NYU HOSPITAL FOR JOINT DISEASES,301 E 17TH ST,NEW YORK,NY,10003,NOT AVAILABLE,(212) 598-6000,GENERAL ACUTE CARE,OPEN,225,NEW YORK,36061,USA,40.734431687,-73.982999962,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY/OTHER,2014-02-10T00:00:00,http://www.med.nyu.edu/hjd/,1446,NOT AVAILABLE,36,NON-PROFIT,-999,225,NOT AVAILABLE,N,POINT (-73.98299996199995 40.73443168700003)
414,0018610032,NEW YORK PRESBYTERIAN MORGAN STANLEY CHILDREN'S HOSPITAL,3959 BROADWAY,NEW YORK,NY,10032,NOT AVAILABLE,(212) 305-5437,CHILDREN,OPEN,190,NEW YORK,36061,USA,40.8397632590001,-73.941282577,622110,"CHILDREN'S HOSPITALS, GENERAL",https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY,2014-02-10T00:00:00,http://www.nyp.org/morganstanley,1464,NOT AVAILABLE,36,NON-PROFIT,-999,190,LEVEL I PEDIATRIC,N,POINT (-73.94128257699998 40.83976325900004)
415,0018810019,THE ADDICTION INSTITUTE OF NEW YORK,1000 10TH AVE,NEW YORK,NY,10019,NOT AVAILABLE,(212) 256-3800,PSYCHIATRIC,CLOSED,-999,NEW YORK,36061,USA,40.76941213,-73.986808395,622210,"HOSPITALS, PSYCHIATRIC (EXCEPT CONVALESCENT)",https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY,2014-02-10T00:00:00,http://www.stlukeshospitalnyc.org/Addiction.aspx,1466,NOT AVAILABLE,36,NON-PROFIT,-999,-999,NOT AVAILABLE,N,POINT (-73.98680839499997 40.76941213000003)
416,0019611373,ELMHURST HOSPITAL CENTER,79-01 BRDWAY,ELMHURST,NY,11373,NOT AVAILABLE,(718) 334-4000,GENERAL ACUTE CARE,OPEN,551,QUEENS,36081,USA,40.7448273630001,-73.886079665,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY/OTHER,2014-01-03T00:00:00,http://www.nyc.gov/html/hhc/ehc/html/home/home.shtml,7003000H,NOT AVAILABLE,36,GOVERNMENT - LOCAL,-999,551,LEVEL I,N,POINT (-73.88607966499995 40.74482736300006)
417,0019711414,JAMAICA HOSPITAL MEDICAL CENTER,8900 VAN WYCK EXPRESSWAY,JAMAICA,NY,11414,NOT AVAILABLE,(718) 206-6000,GENERAL ACUTE CARE,OPEN,408,QUEENS,36081,USA,40.700103647,-73.816114892,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY/OTHER,2014-02-10T00:00:00,http://jamaicahospital.org/,7003003H,NOT AVAILABLE,36,NON-PROFIT,-999,408,LEVEL I,N,POINT (-73.81611489199997 40.70010364700005)
421,0020311355,NEW YORK HOSPITAL QUEENS,56 45 MAIN ST,FLUSHING,NY,11355,NOT AVAILABLE,(718) 670-2000,GENERAL ACUTE CARE,OPEN,519,QUEENS,36081,USA,40.7467722760001,-73.8254163829999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY/OTHER,2014-02-10T00:00:00,http://www.nyhq.org/,7003010H,NOT AVAILABLE,36,NON-PROFIT,-999,519,LEVEL I,N,POINT (-73.82541638299995 40.74677227600006)
422,0020610301,RICHMOND UNIVERSITY MEDICAL CENTER - MAIN CAMPUS,355 BARD AVE,STATEN ISLAND,NY,10301,NOT AVAILABLE,(718) 818-2413,GENERAL ACUTE CARE,OPEN,448,RICHMOND,36085,USA,40.6359024070001,-74.105937803,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY/OTHER,2014-02-10T00:00:00,http://www.rumcsi.org/Main/Home.aspx,7004010H,NOT AVAILABLE,36,NON-PROFIT,-999,448,"LEVEL I, LEVEL II PEDIATRIC",N,POINT (-74.10593780299996 40.63590240700005)
423,0020710305,STATEN ISLAND UNIVERSITY HOSPITAL - NORTH,475 SEAVIEW AVENUE,STATEN ISLAND,NY,10305,NOT AVAILABLE,(718) 226-9515,GENERAL ACUTE CARE,OPEN,508,RICHMOND,36085,USA,40.5849846130001,-74.086219886,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY,2014-03-13T00:00:00,http://www.siuh.edu/,7004003H,NOT AVAILABLE,36,NON-PROFIT,-999,508,"LEVEL I, LEVEL I PEDIATRIC",Y,POINT (-74.08621988599998 40.58498461300007)
424,0114010016,BELLEVUE HOSPITAL CENTER,462 FIRST AVENUE,NEW YORK,NY,10016,NOT AVAILABLE,(212) 562-4132,GENERAL ACUTE CARE,OPEN,912,NEW YORK,36061,USA,40.739320095,-73.975381746,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY/OTHER,2015-02-11T00:00:00,http://www.nychealthandhospitals.org/bellevue/html/home/home.shtml,7002001H,NOT AVAILABLE,36,GOVERNMENT - LOCAL,-999,912,LEVEL I,N,POINT (-73.97538174599998 40.73932009500005)
430,0115411234,MOUNT SINAI BETH ISRAEL BROOKLYN,3201 KINGS HIGHWAY,BROOKLYN,NY,11234,NOT AVAILABLE,(718) 951-3000,GENERAL ACUTE CARE,OPEN,212,KINGS,36047,USA,40.6188201030001,-73.94290124,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY/OTHER,2015-02-11T00:00:00,http://www.bethisraelny.org/brooklyn/,7001041H,NOT AVAILABLE,36,NON-PROFIT,-999,212,NOT AVAILABLE,N,POINT (-73.94290123999997 40.61882010300008)
432,0116710037,HARLEM HOSPITAL CENTER,506 LENOX AVENUE,NEW YORK,NY,10037,NOT AVAILABLE,(212) 939-1000,GENERAL ACUTE CARE,OPEN,282,NEW YORK,36061,USA,40.81426493,-73.939861261,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY/OTHER,2015-02-11T00:00:00,http://www.nychealthandhospitals.org/harlem/html/home/home.shtml,7002009H,NOT AVAILABLE,36,GOVERNMENT - LOCAL,-999,282,LEVEL II,N,POINT (-73.93986126099998 40.81426493000004)
433,0116810035,HENRY J. CARTER SPECIALTY HOSPITAL,1752 PARK AVENUE,NEW YORK,NY,10035,NOT AVAILABLE,(212) 318-8000,LONG TERM CARE,OPEN,201,NEW YORK,36061,USA,40.80328511,-73.9416238539999,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY/OTHER,2015-02-11T00:00:00,http://www.nychealthandhospitals.org/carter/html/home/home.shtml,7002050H,NOT AVAILABLE,36,NOT AVAILABLE,-999,201,NOT AVAILABLE,N,POINT (-73.94162385399994 40.80328511000005)
434,0116910457,SBH HEALTH SYSTEM,4422 THIRD AVENUE,BRONX,NY,10457,NOT AVAILABLE,(718) 960-9000,GENERAL ACUTE CARE,OPEN,461,BRONX,36005,USA,40.852689006,-73.891362876,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY/OTHER,2015-02-11T00:00:00,http://www.sbhny.org/st-barnabas-hospital,7000014H,NOT AVAILABLE,36,NON-PROFIT,-999,461,LEVEL II,N,POINT (-73.89136287599996 40.85268900600005)
442,0118510466,MONTEFIORE MEDICAL CENTER-WAKEFIELD HOSPITAL,600 EAST 233RD STREET,BRONX,NY,10466,NOT AVAILABLE,(718) 920-9000,GENERAL ACUTE CARE,OPEN,325,BRONX,36005,USA,40.893697171,-73.861191189,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY/OTHER,2015-05-12T00:00:00,http://www.montefiore.org/,NOT AVAILABLE,NOT AVAILABLE,36,NON-PROFIT,-999,325,NOT AVAILABLE,N,POINT (-73.86119118899995 40.89369717100003)
447,0118710025,MOUNT SINAI ST. LUKE'S,1111 AMSTERDAM AVENUE,NEW YORK,NY,10025,NOT AVAILABLE,(212) 523-4295,GENERAL ACUTE CARE,OPEN,495,NEW YORK,36061,USA,40.804922543,-73.961590352,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY/OTHER,2015-02-24T00:00:00,http://www.stlukeshospitalnyc.org/index.aspx,7002032H,NOT AVAILABLE,36,NON-PROFIT,-999,495,LEVEL II,N,POINT (-73.96159035199997 40.80492254300003)
448,0118810032,NEW YORK PRESBYTERIAN HOSPITAL - COLUMBIA PRESBYTERIAN CENTER,622 WEST 168TH STREET,NEW YORK,NY,10032,NOT AVAILABLE,(212) 305-2500,GENERAL ACUTE CARE,OPEN,1007,NEW YORK,36061,USA,40.841052882,-73.940686522,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY/OTHER,2015-02-24T00:00:00,http://www.nyp.org/locations/newyork-presbyterian-columbia-university-medical-center,7002054H,NOT AVAILABLE,36,NON-PROFIT,-999,1007,NOT AVAILABLE,N,POINT (-73.94068652199996 40.84105288200003)
449,0118910021,NEW YORK PRESBYTERIAN HOSPITAL - NEW YORK WEILL CORNELL CENTER,525 EAST 68TH STREET,NEW YORK,NY,10021,NOT AVAILABLE,(212) 746-5454,GENERAL ACUTE CARE,OPEN,862,NEW YORK,36061,USA,40.7645499400001,-73.954332262,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY/OTHER,2015-02-24T00:00:00,http://www.nyp.org/,7002025H,NOT AVAILABLE,36,NON-PROFIT,-999,862,"LEVEL I, LEVEL II PEDIATRIC",N,POINT (-73.95433226199998 40.76454994000005)
450,0119511201,NYULMC - COBBLE HILL,83 AMITY STREET,BROOKLYN,NY,11201,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,CLOSED,-999,KINGS,36047,USA,40.6898734210001,-73.997765714,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY/OTHER,2015-02-24T00:00:00,http://nyulangone.org/locations/nyu-langone-cobble-hill,NOT AVAILABLE,NOT AVAILABLE,36,NON-PROFIT,-999,-999,NOT AVAILABLE,N,POINT (-73.99776571399997 40.68987342100007)
459,0010610468,JAMES J. PETERS VA MEDICAL CENTER,130 W KINGSBRIDGE RD,BRONX,NY,10468,NOT AVAILABLE,NOT AVAILABLE,MILITARY,OPEN,-999,BRONX,36005,USA,40.867348658,-73.906382086,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY/OTHER,2015-05-22T00:00:00,http://www.bronx.va.gov/,NOT AVAILABLE,NOT AVAILABLE,36,GOVERNMENT - FEDERAL,-999,-999,NOT AVAILABLE,N,POINT (-73.90638208599995 40.86734865800003)
679,0021210305,STATEN ISLAND UNIVERSITY HOSPITAL - SOUTH,375 SEGUINE AVENUE,STATEN ISLAND,NY,10305,NOT AVAILABLE,(718) 226-2000,GENERAL ACUTE CARE,OPEN,206,RICHMOND,36085,USA,40.5165692800001,-74.1964660899999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY/OTHER,2014-02-12T00:00:00,www.siuh.edu,1737,NOT AVAILABLE,36,NON-PROFIT,-999,206,NOT AVAILABLE,N,POINT (-74.19646608999994 40.51656928000005)
816,0117510021,MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,1275 YORK AVENUE,NEW YORK,NY,10021,NOT AVAILABLE,(212) 639-2000,SPECIAL,OPEN,514,NEW YORK,36061,USA,40.7642743170001,-73.956595517,622310,SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY/OTHER,2015-02-11T00:00:00,https://www.mskcc.org/,7002020H,NOT AVAILABLE,36,NON-PROFIT,-999,514,NOT AVAILABLE,N,POINT (-73.95659551699998 40.76427431700006)
7140,0015010456,BRONX-LEBANON HOSPITAL CENTER - FULTON DIVISION,1276 FULTON AVE,BRONX,NY,10456,NOT AVAILABLE,(718) 409-7742,GENERAL ACUTE CARE,OPEN,164,BRONX,36005,USA,40.831714789,-73.904056984,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY,2014-02-10T00:00:00,http://www.bronxcare.org,7000001H,NOT AVAILABLE,36,NON-PROFIT,-999,164,NOT AVAILABLE,N,POINT (-73.90405698399996 40.83171478900005)
7143,0017311237,WYCKOFF HEIGHTS MEDICAL CENTER,374 STOCKHOLM ST,BROOKLYN,NY,11237,NOT AVAILABLE,(718) 963-7272,GENERAL ACUTE CARE,OPEN,324,KINGS,36047,USA,40.7039640410001,-73.9177636969999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY/OTHER,2014-02-10T00:00:00,http://www.wyckoffhospital.org,7001035H,NOT AVAILABLE,36,NON-PROFIT,-999,324,NOT AVAILABLE,N,POINT (-73.91776369699994 40.70396404100006)
7144,0018110021,LENOX HILL HOSPITAL,100 E 77TH ST,NEW YORK,NY,10021,NOT AVAILABLE,(212) 434-2060,GENERAL ACUTE CARE,OPEN,632,NEW YORK,36061,USA,40.773702681,-73.960890772,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY/OTHER,2014-02-10T00:00:00,http://www.lenoxhillhospital.org,7002017H,NOT AVAILABLE,36,NON-PROFIT,-999,632,NOT AVAILABLE,N,POINT (-73.96089077199997 40.77370268100003)
7145,0019210304,RICHMOND UNIVERSITY MEDICAL CENTER - BAYLEY SETON CAMPUS,75 VANDERBILT AVE,STATEN ISLAND,NY,10304,NOT AVAILABLE,(718) 390-6000,PSYCHIATRIC,OPEN,25,RICHMOND,36085,USA,40.6224278220001,-74.075354595,622210,PSYCHIATRIC AND SUBSTANCE ABUSE HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY,2014-02-10T00:00:00,http://rumcsi.org/main/behavioralhealth.aspx,7004006H,NOT AVAILABLE,36,NON-PROFIT,-999,25,NOT AVAILABLE,N,POINT (-74.07535459499996 40.62242782200008)
7146,0019411355,FLUSHING HOSPITAL MEDICAL CENTER,45 TH AVE & PARSONS BLVD,FLUSHING,NY,11355,NOT AVAILABLE,(718) 670-5918,GENERAL ACUTE CARE,OPEN,293,QUEENS,36081,USA,40.7554099230001,-73.816465518,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY,2014-02-10T00:00:00,http://www.flushinghospital.org,7003001H,NOT AVAILABLE,36,NON-PROFIT,-999,293,NOT AVAILABLE,N,POINT (-73.81646551799997 40.75540992300005)
7147,0019811691,ST. JOHN'S EPISCOPAL HOSPITAL-SOUTH SHORE,327 BEACH 19TH ST,FAR ROCKAWAY,NY,11691,NOT AVAILABLE,(718) 868-7320,GENERAL ACUTE CARE,OPEN,241,QUEENS,36081,USA,40.598707984,-73.753550616,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY/OTHER,2014-02-10T00:00:00,http://www.ehs.org,1635,NOT AVAILABLE,36,NON-PROFIT,-999,241,NOT AVAILABLE,N,POINT (-73.75355061599998 40.59870798400004)
7152,0114210457,BRONX-LEBANON HOSPITAL CENTER - CONCOURSE DIVISION,1650 GRAND CONCOURSE,BRONX,NY,10457,NOT AVAILABLE,(718) 901-8800,GENERAL ACUTE CARE,OPEN,415,BRONX,36005,USA,40.8434925500001,-73.911146945,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2018-08-20T00:00:00,IMAGERY/OTHER,2015-02-11T00:00:00,http://www.bronxcare.org,NOT AVAILABLE,NOT AVAILABLE,36,NON-PROFIT,-999,415,NOT AVAILABLE,N,POINT (-73.91114694499998 40.84349255000006)
